Key,Source,Context,Changes,English,French,German,Klingon,Spanish
ulmModifiedWatermark,items,"Item","<!-- ULM-MODIFIED ULM-MODIFIED ULM-MODIFIED -->",,,,,
ulm10mmTipMold,items,Item,KgNone,"[FF0000]10mm Mold (Legacy Item)[-]",,,,
ulm10mmTipMoldDesc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Iron[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.Mold with a shape matching 10mm Projectile specifications.",,,,
ulm44MagTipMold,items,Item,KgNone,"[FF0000].44 Mag Mold (Legacy Item)[-]",,,,
ulm44MagTipMoldDesc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Iron[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.Mold with a shape matching .44 Mag Projectile specifications.",,,,
ulm357TipMold,items,Item,KgNone,"[FF0000].357 Mag Mold (Legacy Item)[-]",,,,
ulm357TipMoldDesc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Iron[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.Mold with a shape matching .44 Mag Projectile specifications.",,,,
ulm762mmTipMold,items,Item,KgNone,"[FF0000]7.62mm Mold (Legacy Item)[-]",,,,
ulm762mmTipMoldDesc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Iron[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.Mold with a shape matching 7.62mm Projectile specifications.",,,,
ulmSlugTipMold,items,Item,KgNone,"[FF0000]Slug Mold (Legacy Item)[-]",,,,
ulmSlugTipMoldDesc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Iron[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.Mold with a shape matching 7.62mm Projectile specifications.",,,,
ulmSMGParts30,items,Item,KgNone,"[FF0000]SMG Parts M30 (Legacy Item)[-]",,,,
ulmSMGParts30Desc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Iron[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.",,,,
ulmIronPlating,items,Item,KgNone,"[FF0000]Iron Plating (Legacy Item)[-]",,,,
ulmIronPlatingDesc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Iron[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.",,,,
ulmSteelPlating,items,Item,KgNone,"[FF0000]Steel Plating (Legacy Item)[-]",,,,
ulmSteelPlatingDesc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Iron[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.",,,,
ulmSugarBar,items,Item,KgNone,"[FF0000]Sugar Bar (Legacy Item)[-]",,,,
ulmSugarBarDesc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Organic[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.",,,,
ulmCoffeeBar,items,Item,KgNone,"[FF0000]Coffee Bar (Legacy Item)[-]",,,,
ulmCoffeeBarDesc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Organic[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.",,,,
ulmTeaBag,items,Item,KgNone,"[FF0000]Tea Bag (Legacy Item)[-]",,,,
ulmTeaBagDesc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Organic[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.",,,,
ulmColaBottleEmpty,items,Item,KgNone,"[FF0000]Empty Cola Bottle (Legacy Item)[-]",,,,
ulmColaBottleEmptyDesc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Glass[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.Can't be filled with water, because it doesn't want to be reused.",,,,
ulmWoodDowels,items,Item,KgNone,"[FF0000]Wooden Dowels (Legacy Item)[-]",,,,
